AB_category	sample	sum_abund	country	rank	max_rank
macrolide	MH0009_090109	1.18985070475549e-08	EUR	0.134502923976608	513
beta-lactam	MH0028_090121	2.15961353489032e-08	EUR	0.189453125	512
beta-lactam	SRR413561merged	2.62023899641437e-07	CHN	0.783203125	512
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_240	7.13044766238286e-07	RUS	0.97265625	512
beta-lactam	SRR413570merged	4.12190573905654e-07	CHN	0.90625	512
beta-lactam	SRR413581merged	1.1363852699532e-07	CHN	0.5546875	512
beta-lactam	SRR413768merged	4.3244241980077e-08	CHN	0.30078125	512
beta-lactam	SRR413580merged	3.11695799784305e-07	CHN	0.84765625	512
beta-lactam	SRR413565merged	3.51500979843061e-08	CHN	0.259765625	512
beta-lactam	SRR413560merged	5.35577263194947e-08	CHN	0.349609375	512
beta-lactam	T1_T16_20140211_FRAG_BC_T1_T16_F3_T11	2.21379299042824e-07	RUS_HOBL	0.73828125	512
beta-lactam	280_287_20111115_FRAG_BC_280_287_F3_283	2.19431249104752e-06	RUS	0.9921875	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_46P	1.06157236144717e-07	RUS	0.537109375	512
beta-lactam	SRR413578merged	6.48425542114254e-07	CHN	0.962890625	512
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_242	6.76335882685016e-08	RUS	0.416015625	512
beta-lactam	SRR413740merged	1.30745806633527e-07	CHN	0.595703125	512
beta-lactam	SRR413622merged	5.85280293519016e-08	CHN	0.376953125	512
beta-lactam	SRR413639merged	5.26618397009008e-07	CHN	0.935546875	512
beta-lactam	SRR413611merged	6.32742902716841e-08	CHN	0.404296875	512
beta-lactam	SRR413764merged	2.85018800605192e-07	CHN	0.814453125	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_251	1.87855482314017e-07	RUS	0.6953125	512
beta-lactam	SRR413566merged	3.06780333092407e-07	CHN	0.83984375	512
beta-lactam	SRR413582merged	6.28166168846301e-07	CHN	0.958984375	512
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T22	9.60003816057168e-08	RUS_HOBL	0.5078125	512
beta-lactam	SRR413637merged	5.80935278165482e-07	CHN	0.947265625	512
beta-lactam	SRR413635merged	1.68515943957113e-07	CHN	0.6640625	512
beta-lactam	SRR413609merged	1.96910265954946e-07	CHN	0.705078125	512
beta-lactam	SRR413628merged	5.36877915419137e-08	CHN	0.3515625	512
beta-lactam	SRR413619merged	4.17486143508922e-08	CHN	0.29296875	512
beta-lactam	SRR413719merged	2.65542864652457e-07	CHN	0.796875	512
beta-lactam	SRR413756merged	2.48667945137609e-06	CHN	0.99609375	512
beta-lactam	SRR413606merged	4.46262186223697e-08	CHN	0.30859375	512
beta-lactam	SRR413627merged	1.54321927405696e-07	CHN	0.634765625	512
beta-lactam	SRR413618merged	1.02155356328109e-07	CHN	0.5234375	512
beta-lactam	SRS017191	8.88764185775949e-08	USA	0.4921875	512
beta-lactam	SRR413616merged	1.00115998311785e-07	CHN	0.51953125	512
beta-lactam	SRR413603merged	2.56617510370388e-07	CHN	0.779296875	512
beta-lactam	MH0008_081123	1.7058004010733e-07	EUR	0.666015625	512
beta-lactam	SRS050422	9.21750938424517e-08	USA	0.498046875	512
beta-lactam	SRR413585merged	8.46642760500486e-07	CHN	0.98046875	512
beta-lactam	SRR413711merged	9.47940040247682e-08	CHN	0.50390625	512
beta-lactam	SRR413562merged	2.09256379635341e-07	CHN	0.720703125	512
beta-lactam	SRR413568merged	5.59435217313989e-07	CHN	0.9453125	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_13P	5.46674484848364e-07	RUS	0.939453125	512
beta-lactam	SRR413735merged	5.96389032065532e-08	CHN	0.388671875	512
beta-lactam	SRR413630merged	9.5809043184391e-09	CHN	0.119140625	512
beta-lactam	SRR413765merged	6.65464959953464e-07	CHN	0.96484375	512
beta-lactam	SRR413747merged	1.83229858838666e-07	CHN	0.689453125	512
beta-lactam	SRR413716merged	4.97179159780817e-07	CHN	0.92578125	512
beta-lactam	SRR413761merged	8.68334636382438e-08	CHN	0.482421875	512
beta-lactam	SRR413567merged	1.82889456719865e-07	CHN	0.6875	512
beta-lactam	SRR413584merged	1.29932994984045e-07	CHN	0.59375	512
beta-lactam	SRR413589merged	7.18213471497418e-07	CHN	0.974609375	512
beta-lactam	SRR413594merged	2.00975597848077e-07	CHN	0.7109375	512
beta-lactam	SRR413770merged	5.43965724913159e-07	CHN	0.9375	512
beta-lactam	SRR413625merged	7.77361821625999e-08	CHN	0.453125	512
beta-lactam	SRR413588merged	4.0855228006208e-07	CHN	0.90234375	512
beta-lactam	SRR413772merged	5.60542405045128e-08	CHN	0.365234375	512
beta-lactam	SRR413746merged	1.82198342760824e-07	CHN	0.685546875	512
beta-lactam	SRR413586merged	2.77684433970774e-07	CHN	0.8046875	512
beta-lactam	SRR413601merged	6.0460030517739e-07	CHN	0.953125	512
beta-lactam	SRR413571merged	2.33787333764654e-06	CHN	0.994140625	512
beta-lactam	SRR413708merged	2.20965374485296e-07	CHN	0.736328125	512
beta-lactam	SRR413757merged	2.59721163003286e-07	CHN	0.78125	512
beta-lactam	SRR413602merged	5.98569418930246e-08	CHN	0.390625	512
beta-lactam	MH0004_081123	1.16087767780249e-07	EUR	0.560546875	512
beta-lactam	SRR413621merged	9.11814407027383e-08	CHN	0.494140625	512
beta-lactam	SRR413572merged	3.10782869746702e-07	CHN	0.84375	512
beta-lactam	SRR413743merged	3.95034302608295e-07	CHN	0.89453125	512
beta-lactam	SRR413701merged	5.04295754521251e-08	CHN	0.3359375	512
beta-lactam	SRR413612merged	2.31346434619093e-07	CHN	0.748046875	512
beta-lactam	MH0069_090125	1.42430296434431e-07	EUR	0.615234375	512
beta-lactam	MH0082_090130	4.63906081606385e-08	EUR	0.31640625	512
beta-lactam	SRR413755merged	1.63702526708752e-09	CHN	0.041015625	512
beta-lactam	MH0036_090122	2.15360542004821e-09	EUR	0.048828125	512
beta-lactam	280_287_20111115_FRAG_BC_280_287_F3_287	1.5636479473541e-07	RUS	0.642578125	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_27_50trimmed_T_F3	9.94449054146114e-07	RUS_HOBL	0.986328125	512
beta-lactam	kazan5500_2014_03_31_1_L01_24BR_50trimmed_T_F3	3.46574456124731e-07	RUS_HOBL	0.8671875	512
beta-lactam	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_176	2.15545477066341e-07	RUS	0.724609375	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_36_50trimmed_T_F3	6.87082981557178e-09	RUS_HOBL	0.095703125	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_219	1.54922460435962e-07	RUS	0.63671875	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_212	3.59162872560859e-08	RUS	0.265625	512
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_15	1.06138281084006e-08	RUS	0.123046875	512
beta-lactam	MH0012_090120	8.92566461070655e-09	EUR	0.11328125	512
beta-lactam	MH0033_090122	6.77432761305458e-10	EUR	0.017578125	512
beta-lactam	MH0080_090130	3.39365641830279e-10	EUR	0.005859375	512
beta-lactam	Tomsk_2014_02_28_1_L01_13_50trimmed_T_F3	3.41017752676012e-07	RUS_HOBL	0.865234375	512
