AB_category	sample	sum_abund	f_groups
macrolide	MH0009_090109	1.18985070475549e-08	antibiotic resistance
beta-lactam	MH0028_090121	2.15961353489032e-08	antibiotic resistance
beta-lactam	SRR413561merged	2.62023899641437e-07	antibiotic resistance
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_240	7.13044766238286e-07	antibiotic resistance
beta-lactam	SRR413570merged	4.12190573905654e-07	antibiotic resistance
beta-lactam	SRR413581merged	1.1363852699532e-07	antibiotic resistance
beta-lactam	SRR413768merged	4.3244241980077e-08	antibiotic resistance
beta-lactam	SRR413580merged	3.11695799784305e-07	antibiotic resistance
beta-lactam	SRR413565merged	3.51500979843061e-08	antibiotic resistance
beta-lactam	SRR413560merged	5.35577263194947e-08	antibiotic resistance
beta-lactam	T1_T16_20140211_FRAG_BC_T1_T16_F3_T11	2.21379299042824e-07	antibiotic resistance
beta-lactam	280_287_20111115_FRAG_BC_280_287_F3_283	2.19431249104752e-06	antibiotic resistance
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_46P	1.06157236144717e-07	antibiotic resistance
beta-lactam	SRR413578merged	6.48425542114254e-07	antibiotic resistance
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_242	6.76335882685016e-08	antibiotic resistance
beta-lactam	SRR413740merged	1.30745806633527e-07	antibiotic resistance
beta-lactam	SRR413622merged	5.85280293519016e-08	antibiotic resistance
beta-lactam	SRR413639merged	5.26618397009008e-07	antibiotic resistance
beta-lactam	SRR413611merged	6.32742902716841e-08	antibiotic resistance
beta-lactam	SRR413764merged	2.85018800605192e-07	antibiotic resistance
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_251	1.87855482314017e-07	antibiotic resistance
beta-lactam	SRR413566merged	3.06780333092407e-07	antibiotic resistance
beta-lactam	SRR413582merged	6.28166168846301e-07	antibiotic resistance
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T22	9.60003816057168e-08	antibiotic resistance
beta-lactam	SRR413637merged	5.80935278165482e-07	antibiotic resistance
beta-lactam	SRR413635merged	1.68515943957113e-07	antibiotic resistance
beta-lactam	SRR413609merged	1.96910265954946e-07	antibiotic resistance
beta-lactam	SRR413628merged	5.36877915419137e-08	antibiotic resistance
beta-lactam	SRR413619merged	4.17486143508922e-08	antibiotic resistance
beta-lactam	SRR413719merged	2.65542864652457e-07	antibiotic resistance
beta-lactam	SRR413756merged	2.48667945137609e-06	antibiotic resistance
beta-lactam	SRR413606merged	4.46262186223697e-08	antibiotic resistance
beta-lactam	SRR413627merged	1.54321927405696e-07	antibiotic resistance
beta-lactam	SRR413618merged	1.02155356328109e-07	antibiotic resistance
beta-lactam	SRS017191	8.88764185775949e-08	antibiotic resistance
beta-lactam	SRR413616merged	1.00115998311785e-07	antibiotic resistance
beta-lactam	SRR413603merged	2.56617510370388e-07	antibiotic resistance
beta-lactam	MH0008_081123	1.7058004010733e-07	antibiotic resistance
beta-lactam	SRS050422	9.21750938424517e-08	antibiotic resistance
beta-lactam	SRR413585merged	8.46642760500486e-07	antibiotic resistance
beta-lactam	SRR413711merged	9.47940040247682e-08	antibiotic resistance
beta-lactam	SRR413562merged	2.09256379635341e-07	antibiotic resistance
beta-lactam	SRR413568merged	5.59435217313989e-07	antibiotic resistance
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_13P	5.46674484848364e-07	antibiotic resistance
beta-lactam	SRR413735merged	5.96389032065532e-08	antibiotic resistance
beta-lactam	SRR413630merged	9.5809043184391e-09	antibiotic resistance
beta-lactam	SRR413765merged	6.65464959953464e-07	antibiotic resistance
beta-lactam	SRR413747merged	1.83229858838666e-07	antibiotic resistance
beta-lactam	SRR413716merged	4.97179159780817e-07	antibiotic resistance
beta-lactam	SRR413761merged	8.68334636382438e-08	antibiotic resistance
beta-lactam	SRR413567merged	1.82889456719865e-07	antibiotic resistance
beta-lactam	SRR413584merged	1.29932994984045e-07	antibiotic resistance
beta-lactam	SRR413589merged	7.18213471497418e-07	antibiotic resistance
beta-lactam	SRR413594merged	2.00975597848077e-07	antibiotic resistance
beta-lactam	SRR413770merged	5.43965724913159e-07	antibiotic resistance
beta-lactam	SRR413625merged	7.77361821625999e-08	antibiotic resistance
beta-lactam	SRR413588merged	4.0855228006208e-07	antibiotic resistance
beta-lactam	SRR413772merged	5.60542405045128e-08	antibiotic resistance
beta-lactam	SRR413746merged	1.82198342760824e-07	antibiotic resistance
beta-lactam	SRR413586merged	2.77684433970774e-07	antibiotic resistance
beta-lactam	SRR413601merged	6.0460030517739e-07	antibiotic resistance
beta-lactam	SRR413571merged	2.33787333764654e-06	antibiotic resistance
beta-lactam	SRR413708merged	2.20965374485296e-07	antibiotic resistance
beta-lactam	SRR413757merged	2.59721163003286e-07	antibiotic resistance
beta-lactam	SRR413602merged	5.98569418930246e-08	antibiotic resistance
beta-lactam	MH0004_081123	1.16087767780249e-07	antibiotic resistance
beta-lactam	SRR413621merged	9.11814407027383e-08	antibiotic resistance
beta-lactam	SRR413572merged	3.10782869746702e-07	antibiotic resistance
beta-lactam	SRR413743merged	3.95034302608295e-07	antibiotic resistance
beta-lactam	SRR413701merged	5.04295754521251e-08	antibiotic resistance
beta-lactam	SRR413612merged	2.31346434619093e-07	antibiotic resistance
beta-lactam	MH0069_090125	1.42430296434431e-07	antibiotic resistance
beta-lactam	MH0082_090130	4.63906081606385e-08	antibiotic resistance
beta-lactam	SRR413755merged	1.63702526708752e-09	antibiotic resistance
beta-lactam	MH0036_090122	2.15360542004821e-09	antibiotic resistance
beta-lactam	280_287_20111115_FRAG_BC_280_287_F3_287	1.5636479473541e-07	antibiotic resistance
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_27_50trimmed_T_F3	9.94449054146114e-07	antibiotic resistance
beta-lactam	kazan5500_2014_03_31_1_L01_24BR_50trimmed_T_F3	3.46574456124731e-07	antibiotic resistance
beta-lactam	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_176	2.15545477066341e-07	antibiotic resistance
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_36_50trimmed_T_F3	6.87082981557178e-09	antibiotic resistance
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_219	1.54922460435962e-07	antibiotic resistance
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_212	3.59162872560859e-08	antibiotic resistance
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_15	1.06138281084006e-08	antibiotic resistance
beta-lactam	MH0012_090120	8.92566461070655e-09	antibiotic resistance
beta-lactam	MH0033_090122	6.77432761305458e-10	antibiotic resistance
beta-lactam	MH0080_090130	3.39365641830279e-10	antibiotic resistance
beta-lactam	Tomsk_2014_02_28_1_L01_13_50trimmed_T_F3	3.41017752676012e-07	antibiotic resistance
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_191	1.04592934146246e-07	antibiotic resistance
beta-lactam	SRR413733merged	4.40402760444426e-07	antibiotic resistance
beta-lactam	Tomsk_2014_02_28_1_L01_08_50trimmed_T_F3	3.20444754479404e-08	antibiotic resistance
beta-lactam	SRR413721merged	1.93806792716106e-07	antibiotic resistance
beta-lactam	BC_9_16_20111003_FRAG_BC_BC_1_8_20111003_F3_98	4.684949014999e-09	antibiotic resistance
beta-lactam	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_316	3.31894315898493e-09	antibiotic resistance
beta-lactam	MH0063_090126	1.05758851859906e-09	antibiotic resistance
beta-lactam	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_313	8.78814596673987e-08	antibiotic resistance
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T19	5.29035437551753e-08	antibiotic resistance
beta-lactam	MH0010_081120	5.93601915246279e-08	antibiotic resistance
beta-lactam	MH0070_090125	1.56329309328746e-09	antibiotic resistance
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_250	3.51047120000235e-07	antibiotic resistance
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_98	5.01200414917172e-09	antibiotic resistance
beta-lactam	SRR413623merged	3.20335940521171e-08	antibiotic resistance
beta-lactam	MH0077_090130	1.60236672508087e-08	antibiotic resistance
beta-lactam	BC_9_16_20111003_FRAG_BC_BC_1_8_20111003_F3_89	2.48581494832946e-07	antibiotic resistance
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_1P	2.64066104896578e-07	antibiotic resistance
beta-lactam	SRR413759merged	8.18462626459328e-07	antibiotic resistance
beta-lactam	SRR413613merged	5.37081805228782e-08	antibiotic resistance
beta-lactam	SRR413718merged	7.54856591099096e-08	antibiotic resistance
beta-lactam	SRR413752merged	3.83641938095297e-08	antibiotic resistance
beta-lactam	Tomsk_2014_02_28_1_L01_07_50trimmed_T_F3	1.74173436462411e-07	antibiotic resistance
beta-lactam	222_257_20111020_FRAG_BC_222_257_F3_222	1.13849926440824e-08	antibiotic resistance
beta-lactam	SRR413709merged	3.47102821778654e-08	antibiotic resistance
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_43P	1.66597384605416e-07	antibiotic resistance
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T25	2.2752815896427e-08	antibiotic resistance
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_40	5.94284230950815e-07	antibiotic resistance
beta-lactam	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_63	3.91053393135588e-07	antibiotic resistance
beta-lactam	MH0047_081223	2.42020406255027e-09	antibiotic resistance
beta-lactam	SRR413705merged	9.17126100551936e-08	antibiotic resistance
beta-lactam	SRR413638merged	4.87501577223589e-07	antibiotic resistance
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_41	6.29557755525989e-07	antibiotic resistance
beta-lactam	SRR413569merged	1.16337590414743e-07	antibiotic resistance
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_16P	2.75494683487126e-07	antibiotic resistance
beta-lactam	kazan5500_2014_03_31_1_L02_59BR_50trimmed_T_F3	1.51186286111925e-08	antibiotic resistance
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_Br05	2.14380598514149e-08	antibiotic resistance
