"AB_category"	"category_description"	"gene"	"gene_description"
"Cobalt (Co)"	""	"ctpD"	"Probable cobalt/nickel-exporting P-type ATPase; Involved in heavy metal homeostasis. Probably exports nickel and cobalt ions out of the cell."
"Nickel (Ni)"	""	"ctpD"	"Probable cobalt/nickel-exporting P-type ATPase; Involved in heavy metal homeostasis. Probably exports nickel and cobalt ions out of the cell."
"Organo-sulfate"	""	"adeL"	"Regulator of adeFGH efflux system"
"Phenanthridine"	""	"adeL"	"Regulator of adeFGH efflux system"
"Azin"	""	"adeL"	"Regulator of adeFGH efflux system"
"Acridine"	""	"adeL"	"Regulator of adeFGH efflux system"
"Chromium (Cr)"	""	"chrF"	"Part of chrBACF operon from the transposable element TnOtChr."
"Paraquat"	""	"chrF"	"Part of chrBACF operon from the transposable element TnOtChr."
"Naphthoquinone"	""	"chrF"	"Part of chrBACF operon from the transposable element TnOtChr."
"Chromium (Cr)"	""	"chrC"	"Part of chrBACF operon from the transposable element TnOtChr. ChrC encodes a superoxide dismutase."
"Paraquat"	""	"chrC"	"Part of chrBACF operon from the transposable element TnOtChr. ChrC encodes a superoxide dismutase."
"Naphthoquinone"	""	"chrC"	"Part of chrBACF operon from the transposable element TnOtChr. ChrC encodes a superoxide dismutase."
"Chromium (Cr)"	""	"chrA"	"Part of chrBACF operon from the transposable element TnOtChr. It pumps chromate out of the cell."
"Chromium (Cr)"	""	"chrB"	"Part of chrBACF operon from the transposable element TnOtChr. Has a regulatory role for expression of the ChrA transporter."
"Paraquat"	""	"chrB"	"Part of chrBACF operon from the transposable element TnOtChr. Has a regulatory role for expression of the ChrA transporter."
"Naphthoquinone"	""	"chrB"	"Part of chrBACF operon from the transposable element TnOtChr. Has a regulatory role for expression of the ChrA transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"emrD-3"	"It is an intrinsic membrane protein. Multidrug resistance protein D. EmrD-3-mediated efflux is potentiated by a proton gradient across the membrane. It can confer resistance to antibiotics such as linezolid, rifampin, minocycline etc."
"Phenanthridine"	""	"emrD-3"	"It is an intrinsic membrane protein. Multidrug resistance protein D. EmrD-3-mediated efflux is potentiated by a proton gradient across the membrane. It can confer resistance to antibiotics such as linezolid, rifampin, minocycline etc."
"Xanthene"	""	"emrD-3"	"It is an intrinsic membrane protein. Multidrug resistance protein D. EmrD-3-mediated efflux is potentiated by a proton gradient across the membrane. It can confer resistance to antibiotics such as linezolid, rifampin, minocycline etc."
"Organo-sulfate"	""	"emrD-3"	"It is an intrinsic membrane protein. Multidrug resistance protein D. EmrD-3-mediated efflux is potentiated by a proton gradient across the membrane. It can confer resistance to antibiotics such as linezolid, rifampin, minocycline etc."
"Phenanthridine"	""	"vexE"	"Multidrug efflux transporter VexE; part of the vexEF-tolC efflux system; The function of vexEF efflux systems are redundant with one or more of the other V. cholerae RND efflux pumps. VexEF-TolC mediates resistance to various antimicrobials; ethidium efflux is Na+-dependent"
"Phenanthridine"	""	"vexF"	"Multidrug efflux transporter VexF; part of the vexEF-tolC efflux system; The function of vexEF efflux systems are redundant with one or more of the other V. cholerae RND efflux pumps. VexEF-TolC mediates resistance to various antimicrobials; ethidium efflux is Na+-dependent. The VexF and VexM Pumps do not Function in Antimicrobial Resistance in vitro."
"Acridine"	""	"kdeA"	"It can confer resistance to antibiotics such as chloramphenicol, Kanamycin, norfloxacin, puromycin, daunomycin etc. "
"Phenanthridine"	""	"kdeA"	"It can confer resistance to antibiotics such as chloramphenicol, Kanamycin, norfloxacin, puromycin, daunomycin etc. "
"Quaternary Ammonium Compounds (QACs)"	""	"kdeA"	"It can confer resistance to antibiotics such as chloramphenicol, Kanamycin, norfloxacin, puromycin, daunomycin etc. "
"Organo-sulfate"	""	"kdeA"	"It can confer resistance to antibiotics such as chloramphenicol, Kanamycin, norfloxacin, puromycin, daunomycin etc. "
"Xanthene"	""	"kexD"	"KexD was shown to function with AcrAEc and TolC from E. coli and AcrAKp and KocC from K. pneumoniae, like AcrD from E. coli"
"Quaternary Ammonium Compounds (QACs)"	""	"kexD"	"KexD was shown to function with AcrAEc and TolC from E. coli and AcrAKp and KocC from K. pneumoniae, like AcrD from E. coli"
"Phenanthridine"	""	"kexD"	"KexD was shown to function with AcrAEc and TolC from E. coli and AcrAKp and KocC from K. pneumoniae, like AcrD from E. coli"
"Acid"	""	"kexD"	"KexD was shown to function with AcrAEc and TolC from E. coli and AcrAKp and KocC from K. pneumoniae, like AcrD from E. coli"
"Acid "	""	"kexD"	"KexD was shown to function with AcrAEc and TolC from E. coli and AcrAKp and KocC from K. pneumoniae, like AcrD from E. coli"
"Cadmium (Cd)"	""	"actR"	"Acid tolerance regulatory protein ActR. Member of the two-component regulatory system ActS/ActR acting in acid tolerance. These data implicate that a two-component sensor may be involved in pH sensing and/or response."
"Zinc (Zn)"	""	"actR"	"Acid tolerance regulatory protein ActR. Member of the two-component regulatory system ActS/ActR acting in acid tolerance. These data implicate that a two-component sensor may be involved in pH sensing and/or response."
"Acid"	""	"actR"	"Acid tolerance regulatory protein ActR. Member of the two-component regulatory system ActS/ActR acting in acid tolerance. These data implicate that a two-component sensor may be involved in pH sensing and/or response."
"Azide"	""	"actR"	"Acid tolerance regulatory protein ActR. Member of the two-component regulatory system ActS/ActR acting in acid tolerance. These data implicate that a two-component sensor may be involved in pH sensing and/or response."
"Cadmium (Cd)"	""	"cadX"	"Cadmium resistance regulatory protein CadX"
"Zinc (Zn)"	""	"cadX"	"Cadmium resistance regulatory protein CadX"
"Diamidine"	""	"smdA"	"Multidrug efflux pump SmdA"
"Bisbenzimide"	""	"smdA"	"Multidrug efflux pump SmdA"
"Diamidine"	""	"smdB"	"Multidrug efflux pump SmdB"
"Bisbenzimide"	""	"smdB"	"Multidrug efflux pump SmdB"
"Acridine"	""	"ssmE"	"Multidrug efflux pump SsmE"
"Phenanthridine"	""	"ssmE"	"Multidrug efflux pump SsmE"
"Paraquat"	""	"ssmE"	"Multidrug efflux pump SsmE"
"Biguanides"	""	"ssmE"	"Multidrug efflux pump SsmE"
